Bangla,Chakma
ইয়ে,ইয়ে
ঈর্ষা করা,পিঝুম্
ঈর্ষা করা,রিচ্ছো পিরে
ঈর্ষাকাতর,পিজুম্যা
ঈর্ষাকাতর,রিচ্ছো
ঈর্ষাকাতরতা,পিঝুম্
ঈর্ষাকাতরতা,রিচ্ছো পিরে
ঈর্ষাপরায়ণ,পিজুম্যা
ঈর্ষাপরায়ণ,রিচ্ছো
ঈর্ষাপরায়ণতা,পিঝুম্
ঈর্ষাপরায়ণতা,রিচ্ছো পিরে
উইপোকা,উই পুক্
উঁচুনিচু,দেমেল়াক্
উঁচুনিচু,ফুল্যা দেমেল়াক্
উঁচুনিচু,তেন্জং মেঃন্জং
উঁচুনিচু,দেম়াদেম্যা
উঁচু,আলক্
উঁচু,অজল্
উকিল,উকিল্
উকুন,উগুন্
উগরানো,অগলানা
উগ্র,গরম্
উগ্র,জেত্
উগ্র,তাদাক্যা
উচাটন,তিনেং
উচাটন,তিনেং ফালাং
উচাটন,তিনেং তিক্তিক্
উচিত হওয়া,পরানা
উচ্চ,দাঙর্
উচ্চতা,হুপ্
উচ্চতা,অজল্
উচ্চতা,লাম্বা
উচ্চশব্দ,জোল্
উচ্চস্বরে,ওয়াং ওয়াং
উচ্চারণ,মাত্
উচ্চারণ করা,মাদানা
উচ্ছিষ্ট,ইধে
উচ্ছিষ্ট,উগুচ্যা
উচ্ছিষ্ট,চগত্যা
উচ্ছিষ্ট,চাংচাড়া
উচ্ছৃঙ্খল হওয়া,পাজানা
উচ্ছৃঙ্খল হওয়া,তিনেং অহ্না
উচ্ছে,তিদে গুলো
উচ্ছ্বসিত,উচ্ছো সোত্বোত্
উচ্ছ্বসিত,আহ্ওল্ পাওল্
উজান,উজোনি
উজানে,আগারে
উজানে,উগুরে
উজাড়,উরোঝারা
উজ্জ্বল,চিক্চিক্
উজ্জ্বল,দোদোক্যা
উজ্জ্বল,পোত্পোত্যা
উজ্জ্বল,পঃন্
উজ্জ্বল,ফদাংতাং
উট,উট্
উঠা,উধানা
উঠোন,উধোন্
উড়া,উরানা
উড়ু উড়ু,তিনেং
উড়ু উড়ু,তিনেং ফালাং
উড়ু উড়ু,তিনেং তিক্তিক্
উড়ো চিঠি,গবলা
উত্তর,উত্তর্
উত্তপ্ত,তাত্যা
উত্তপ্ত,তাদাক্যা
উত্তাপ,ত
উত্তাপ,গরম্
উত্তীর্ণ হওয়া,তরানা
উত্তেজনা,গং
উত্তেজিত,তাদাক্যা
উত্তেজিত,উচ্ছো
উত্তেজিত হওয়া,তাদাক্যা অহ্না
উত্তেজিত হওয়া,তাদানা
উত্তেজনার বশে,গঙে গং
উত্তেজনার বশে,গঙত্
উত্তোলন,আলক্
উত্যক্ত করা,জলানাঃ
উত্যক্ত করা,জালানা
উত্যক্ত করা,তুছ্যা লাগানা
উত্যক্তকারী,দারিত্
উত্যক্তকারী,অসত্
উৎকট,ভুরুং ভুরুং
উৎকণ্ঠা,ভিরুং ভিরুং
উৎকণ্ঠিত,ভিরুং ভিরুং
উৎপত্তিস্থল,দঝর্
উৎপন্ন হওয়া,অহ্না
উৎপাত,তুছ্যা
উৎফুল্ল,উচ্ছো সোত্বোত্
উৎফুল্ল,আহ্ওল্ পাওল্
উৎস,থুম্
উৎস,অহ্ত্
উৎস,উজোনি
উৎস,দঝর্
উৎস,নাক্
উৎসর্গ,উচ্চুরো
উৎসর্গ,দালি
উৎসর্গ করা,উচ্চুরানা
উৎসাহ,উচ্ছো সোত্বোত্
উৎসাহ,আহ্ওল্ পাওল্
উৎসাহ,ধাপ্
উৎসাহ,গাঃক্
উৎসাহী হওয়া,আহ্গুদানা
উৎসাহী হওয়া,উচ্ছো অহ্না
উৎসাহী,কাম্মো
উৎসাহী,গাঃক্
উৎসুক,চোক্ চোক্
উৎসুক,আহ্ওজে
উদাসীন,আলা
উদাসীন,এল়েলে
উদার,আলা
উদাসীন,আলা
উদাসীন,এল়েলে
উদার,আলা
উদুখল,কুচ্যা
উদোম,উত্যা
উদোম,এরেয়ে
উদোম,উত্যা ভুত্যা
উদোম,এরেয়ে ভেরেয়ে
উদোম,চদর
উদোম,উত্যা ভুত্যা
উদ্দেশ্য,হেচ্
উদ্ধত,গাথ্যা
উদ্ধার,উত্ধোর্
উদ্বিগ্ন,ভিরুং ভিরুং
উদ্বেগ,চোক্ চোক্
উদ্বেগ,চিদে
উদ্বেগ,চিদে
উদ্বেগ,চিদেচচ্জা
উদ্বেগ,ভিরুং ভিরুং
উদ্বোধন,ফাং
উদ্বৃত্ত,উগুচ্যা
উদ্বৃত্ত,বাচ্যা
উদ্বৃত্ত,বর্কত্
উদ্বৃত্ত হওয়া,উগুরানা
উদ্বৃত্ত হওয়া,বাজানা
উদ্ভট,চংবং
উদ্ভাসিত,ফদাংতাং
উদ্ভিদ,গাচ্
উদ্ভিন্নযৌবনা,কুচ্যা
উদ্ভ্রান্ত,ছনবন
উদ্ভ্রান্ত,সুন্দ্রুং ভুন্দ্রুং
উদ্যমী,কাম্মো
উদ্যোগী,মদামত্যা
উদ্যোগী,কাম্মো
উনুন,ওলো𑄚𑄴𑄥ল্
উনুন,চুলোঃ
উনুন,পাঃ
উনুন,ওলোঃন্ সাল্
উনুন,পাঃ
উনুন,পোগোন্
উনোন,পাঃ
উনোন,পোগোন্
উন্নত,অজল্
উন্নত,উজুক্চুক্
উন্নত,উজোন্যা
উন্নতি,ভালেত্
উন্নয়নমূলক,ভালেদি
উন্মাদনা,গং
উন্মাদনা,মাত্তল্
উন্মত্ত,উলোমচ্ত
উন্মত্ত,পাগল্
উন্মাদ,পাগল্
উন্মুক্ত,উত্যা
উন্মুক্ত,দাংগাপাধারে
উন্মুক্ত করা,মেলানাঃ
উন্মোচন করা,উত্তানা
উন্মোচিত,উত্যা
উপকরণ,রুচ্যাল্
উপকরণ,মিঝেল্
উপকরণ,রুচ্চোল্
উপকার,বালা
উপকার,উবকার্
উপহার,উবআহ্র্
উপচে পড়া,পেল্ বানাঃ
উপছেপড়া,উজুক্ চুক্
উপঢৌকন,ভেত্
উপঢৌকন,দাভা
উপত্যকা,ধুড়ি
উপত্যকা,কল়ক্
উপদেশ,উবদেচ্
উপদ্রব,তুছ্যা
উপপতি,লাং
উপবাস,উভোচ্
উপযুক্ত,লাক্
উপযুক্ত,লাঘর্
উপযুক্ত হওয়া,জুআনা
উপযুক্ত হওয়া,জগাছ্যা অহ্না
উপযুক্ত হওয়া,লাঘর্ অহ্না
উপর্যুপরি,উধোউত্যা
উপর্যুপরি,দোগোরেঃ দোগোরেঃ
উপর্যুপরি,উধোউত্যা
উপর্যুপরি,পাল়াপাল্যা
উপরে,উগুরে
উপরে,উজোন্যা
উপরে,উদ্ধে
উপরে,উত্তে
উপরে,উজোনি
উপরে,আগারে
উপরে,উগুরে
উপশম,সচ্রম্
উপস্থিত,আহ্জিল্
উপহাস,ভেঙানা
উপড়ানো,উগুরানা
উপড়ে দেওয়া,ছারানাঃ
উপড়ে দেওয়া,উগুরে দেনা
উপাখ্যান,পচ্ছন্
উপার্জন করা,কামানা
উপার্জনকারী,কামেয়ে 
উপাদান,রুচ্যাল্
উপাদান,মিঝেল্
উপাদান,রুচ্চোল্
উপাদান,মিঝেল্
উপাদান,তাল়িক্
উপাসনালয়,মন্দির্
উপাসনালয়,কি𑄠𑄧𑄁
উপায়,ভ
উপায়,জু
উপায়,ড়া
উপায়,গদি
উপুড়,উগুর্
উপেক্ষা,নাহাচ্
উপোস,উভোচ্
উবু হওয়া,আহ্ম্ব অহ্না
উরু,রান্
উরু,দাবানা
উর্বর,বলা
উর্বরতা,তচ্
উর্বরতা,বল্
উলঙ্গ,কচদর
উলঙ্গ,লাংধা
উলঙ্গ,লাংধাবাংধা
উলঙ্গ,চদর
উলঙ্গ,উত্যা ভুত্যা
উল্কা,জামেয়্ তারা
উল্কা,তারা জামেয়্
উল্কাবৃষ্টি,তারাবাজি
উল্টানো,উভোত্
উল্টানো,উল্লানা
উল্টানো,উল্লেয়ে
উল্টাপাল্টা,উগুধো ঝাবুদো
উল্টো,উগুধো
উল্টোপাল্টা,উগুধো ঝাবাদা
উল্টোপাল্টা,উগুধো ঝাবুদো
উল্টোপাল্টা,চুচ্যাং ভুত্যাং
উল্লাস,উচ্ছো সোত্বোত্
উল্লাস,আহ্ওল্ পাওল্
উল্লুক,লাঘা বান্দর্
উল্লম্ব,উভো
উশুল,উঝোল্
উষ্ণ,উম্
উষ্ণতা,উম্
উষ্ণ হওয়া,উমানাঃ
উষ্ণ হওয়া,উম্ অহ্না
উষর,রুধো
উষর,মরা
উষর,নাধা
উস্কানি দেওয়া,কাত্তানাঃ
উস্কানিমূলক,পেদে পেদে
উস্কু খস্কু,হেঞ্জর্ মেঞ্জর্
উস্কু খস্কু,ঝিন্দুরুক্ কিন্দুরুক্
উস্কু খস্কু,ফুজুক্ ফাজাক্
উস্কু খস্কু,ফেজাক্চাক্
উস্কু খস্কু,ফেজেরা
উসখুস করা,হচ্হজানাঃ
উসখুস করা,চাত্তানা
ঊন,উনো
ঋজু,সরল্
ঋজু,উজু
ঋতু,আহ্বা
এইতো,এনাঃ
এই যে,এয়ো
এই লোকটি,এতে
এঁটেল মাটি,মুজুনোঃ মাদি
এক,এগা
একক,এগা
একই হওয়া,সং পরানা
একই হওয়া,এক্কুই অহ্না
একগুঁয়ে,এক্গঙ্যা
একগুঁয়ে,অক্ঘমা
একগুঁয়ে,অঝম্𑄧রল
একগুঁয়ে,রম়
একগুঁয়ে,রম়চক্র
একগুঁয়ে,রম়সম
একগুয়েমি,গাগদামি
একঘরে,নিড়োচ্
একঘরে,আল্সি গছ্যা
একঘেয়ে,আনুধোর্
একঘেয়ে,আগেয়েঃ
একঘেয়ে হওয়া,আগানাঃ
একঘেয়ে হওয়া,আগেয়েঃ অহ্না
একচুমুক,এক্ ধার্
একজিমা,আগাঝা
একটি,এক্
একটি,এক্কো
একটু,ইত্তুক্
একটু,এক্কা
একটু,এক্কেনা
একটু একটু,এক্কা এক্কা
একটু একটু,ধেপ্পে ধেপ্পে
একটুও,সবাই
একটুও,এক্কায়োঃ
একটুও,চভাই
একটুও,সবাই
একটুও,এক্কেনায়ো
একটুপরে,কাঝেকিচ্যা
একতা,সং
একতা,জধা
একতার শক্তি,জধা বল্
একদম,এক্হে
একদম,জানে
একদম,জদবদে
একদম,জাত্যা
একদম,গঙে গঙে
একদম,গঙে গং
একদম,এক্হে
একদম,গদা
একদম,কাজা
একনাগাড়ে,এক্লাগার্
একনাগাড়ে,এক্ছুত্তে
একনাগাড়ে,উরুরুরুত্
এক পক্ষ/দল,এক্দাঘি
এক পক্ষ/দল,এক্দাক্
একপাশে,এক্মুখ্যা
একপাশে,এক্কুরে
একমাত্র,নিধুক্ তুক্
একমাত্র,বিজোর্
একত্র,এগত্তর্
একত্র,জদা
একত্র করা,কুরানা
একত্র করা,এগত্তর্ গরানা
একত্র করা,থুবানা
একত্রে,সং সমারে
একত্রে,সমারে
একত্রে,লগে
একত্রে,সমারে
একত্রে,মুধেমাধে
একত্রে,মোধেমাধে
একবারে,এক্লাগার্
একরোখা,অক্ঘমা
একরোখা,অঝম্𑄧রল
একরোখা,এক্কুপ্যা
একরোখা,এক্গঙ্যা
একরোখা,রম়
একরোখা,রম়চক্র
একরোখা,রম়সম
একসময়,এক্ সলা
একসময়,এক্ সময়্
একসাথে,সমারে
একসাথে,সমরাসমরি
একসাথে,সং সমারে
একসাথে,সমারে
একসাথে,লগে
একা,সারাল্যা
একা,গাই
একা,এগা
একা একা,গাই গাই
একাকার,লুদুপুদু
একাকার,সরবর
একাকী,এগাজাত্যা
একাকী,গাই গাই
একাকী,গাই
একাকীত্ব,চিক্চিখ্যা
একাগ্র,এগাগরা
একাগ্র,এগামন্
একাগ্র,এক্কুপ্যা
একাদিক্রমে,উধোউত্যা
একাদিক্রমে,এগজা
একাদিক্রমে,আইলমে
একারণে,এতাত্যায়্
একারণে,এতাল্লাই
একারণে,মাগানাত্যায়্
একারণে,এসেনত্যায়্
একেবারে,এক্হে
একেবারে,এক্খোচান্
একেবারে,গঙে গঙে
একেবারে,গঙে গং
একেবারে,এক্হে
একেবারে,গদা
একেবারে,এনে এনে
একেবারে,এপ্বে
একেবারে,এপ্বেরে
একেবারে,কাজা
এখন,এঝ
এখন,এভ
এখন,ইক্কু
এখনো,এঝ
এখনো,এভ
এখনো,ইয়োঃ
এখানকার,ইদুঘো
এখান থেকে,ইত্তুন্
এখানে,ইধু
এখানে,ইয়োত্
এগিয়ে দেওয়া,বাবানাঃ
এগিয়ে দেওয়া,বাভেই দেনা
এগিয়ে দেওয়া,বারেঃয়্ দেনা
এগুলি,ইয়ানি
এগুলি,ইয়ুন্
এগুলো,ইঘুন্
এগুলো,ইয়ানি
এগুলো,ইয়ুন্
এগোনো,আক্কোনা
এগোনো,ওজানা
এগোনো,উজোনা
এজন্য,এতাল্লাই
এজন্য,এতাত্যায়্
এজন্য,এতাল্লাই
এজন্যেই,মাগানাত্যায়্
এজন্যেই,এসেনত্যায়্
এটা,ইভে
এটা ওটা,ফলনান্ দবনান্
এটি,ইভে
এত,ইঝু
এত,এত্তমান্
এত,এদক্
এত,এধক্
এত,আধিক্
এত,যে
এত,এন্ধক্যা
এতগুলো,ইদুক্কুন্
এতগুলো,ইদুক্কো
এতটাই,এত্তমান্
এতটাই,এদক্
এতটুকু,সেম্ভা
এতটুকু,ইত্তুক্
এত বড়,এম্বা
এত বেশি,এত্তমান্
এত বেশি,এদক্
এত সহজে,হাড়া সত্তে
এত সহজে,হাড়া
এত সহজে,হারাক্কাই
এতিম,নানুমরা
এদিকে,ইভে
এদিকে,ইন্দি
এদিক সেদিক করা,লারানা
এদিক সেদিক করা,চদর্ ভদর্ গরানা
এবং,আ
এভাবে,এবাদে
এভাবে,ইহ্ঙিরি
এভাবে,এম্ভয়্
এমন,এঝান্
এমন,এসান্
এমন,এধক্
এমন,এধক্যা
এমন,এধগে
এমন,এন্জান্
এমন,এবাবত্যা
এমন,যে
এমন,এধক্যা
এমন,এয়ান্যা
এমন,এবাবত্যা
এমনি,আমেনেঃ
এমনিই,এনাবাদে
এমনিই,এনেঃ
এমনি করে,এবাদে
এমনিতে,এনাবাদে
এমনিতে,এনেঃ
এমনিতে,অঝর্
এমনিতে,এনেঃ
এমনিতে,ধোগেঃ
এরকম,এঝান্
এরকম,এসান্
এরকম,এধক্
এরকম,এধক্যা
এরকম,এধগে
এরকম,এন্জান্
এরকম,এবাবত্যা
এর থেকে,এতাত্তুন্
এলাকা,চাগালা
এলাকা,বাম্
এলাকা,চাপ্
এলাকা,বাম্
এলোমেলো,চদর্ ভদর্
এলোমেলো,ওলোঝোলো
এলোমেলো,জাগুলুক্
এলোমেলো,এলোমেলো
এলোমেলো,ফুজুক্ফাজাক্
এলোমেলো,সেত্তেরা
এলোমেলো,চেদের্ ভেদের্
এলোমেলো,ইহ্লেধারে
এলোমেলো,ঝিন্দুরুক্ কিন্দুরুক্
এলোমেলো,ফেজাক্চাক্
এলোমেলো,ফেজেরা
এলোপাথাড়ি,ধাক্যা পাধাচ্যা
এলোপাথাড়ি,ভুক্ভাক্
এলোপাথাড়ি,ভুংভাং
এলোমেলো করা,লারানা
এলোমেলো করা,চদর্ ভদর্ গরানা
এড়িয়ে চলা,আখ্যা আখ্যা
ঐ,সে
ঐ,উ
ঐ,উয়ো
ঐক্য,মিল্
ঐক্য,সং
ঐক্য,জধা
ঐক্য,সং
ঐক্য,এগত্তর্
ঐতিহ্য,সুদোম্
ও,আ
ও,অ
ওখানে,উহ্দু
ওখানে,উহ্বোত্
ওখানে,উহ্বোত্
ওজন,গোঃর্
ওজন,গোঃর্
ওজন,ভর্
ওটা,উই
ওটা,উহ্বো
ওটি,উই
ওটি,উহ্বো
ওত পাতা,হাপ্ দেনা
ওত পাতা,চুবি থানা
ওত পাতা,চুগি থানা
ওত পাতা,হাপ্ দি থানা
ওদিকে,উন্দি
ওপার,অহ্বলা
ওপাশ,অহ্বলা
ওষুধ,দারু
ওষুধপত্র,দারুদর্ম
ওষুধের দোকান,দারু দোগান্
ওষ্ঠ,থুত্
ওষ্ঠ,উত্
ওস্তাদ,গুরু থাগুর্
ওস্তাদ,ওচ্তাদ্
ওলট পালট,উভোত্ ঝাবত্
ওড়ানো,ওরানা
ওড়ানো,উরানা
ওয়াক্ত,অক্তে
কই মাছ,কোয়্ মাচ্
কঁকানো,কঙানা
ককুঁদ,বিড়িচ্
কক্ষ,হুল়ি
কক্ষ,গুধি
কখন,কক্কেনে
কখন,কক্কে
কখন,কমলে
কখনো,চভাই
কখনো কখনো,সেরে সেরে
কখনো কখনো,কদসলা
কঙ্কালসার,হেঙেদা
কঙ্কালসার,আহ্রুং কারুং
কচলানো,কজদানা
কচি,নিঘুচ্
কচি,কড়া
কচি,কঝি
কচি,কাজাকজরা
কচি,কজমা
কচি,কঝি
কচি,কঝিক্ কঝিক্
কচি অংশ,বুক্কো
কচিকাঁচা,চিগিরিং চাগারাং
কচিকাঁচা,চিগোন্ চাগোন্
কচিকাঁচা,গুরোগারা
কচিকাঁচা,গুরিং গারাং
কচু,কজু
কচুরিপানা,ফেনা
কচুরিপানা,হজত্যা
কচুরিপানা,খোজোদি
কচ্ছপ,দুর্
কঞ্চি,সুঝি
কঞ্চি,কাঙেত্
কটাক্ষ করা,গেজা মারানা
কটাক্ষ করা,ফেচ্ গরানা
কটি,কমর্
কটি,ফার্
কটিবন্ধনী,ফারত্দরি
কঠিন,আগাথ্যা
কঠিন,কাংগেরেং
কঠিন,চিমোর্
কঠিন হওয়া,দড় অহ্না
কঠিন হওয়া,বজানাঃ
কঠোর,চাবানা
কঠোর শ্রম/পরিশ্রম,রন্দুক্
কড়ই,কড়োয়্ গাচ্
কড়কড়ে,কর্কোচ্যা
কড়কড়ে,কোর্কোরে
কড়া,চার্
কড়া,দক্
কড়া,তুর্
কড়া,করা
কড়া,তাদাক্যা
কড়াকড়ি করা,চাবানা
কড়িকাঠ,তেগেন্
কত,কধক্
কত,কিদুক্
কতক্ষণ,কক্খন্
কতগুলো,কুক্ঘো
কতগুলো,কুদুক্ঘো
কতগুলো,কুদুক্হুন্
কতদূর,কুত্ধুর্
কতটুকু,কত্তমান্
কথা,কধা
কথা,ভাচ্
কথা বলা,মাদানা
কথাবার্তা,মাদাবুলো
কথাবার্তা,কধাবাত্তা
কথাবার্তা,মাদামাদি
কথাবার্তা,তেতা
কথায় কথায়,কধা ঘরত্
কথোপকোথন,মাদাবুলো
কথোপকোথন,কধাবাত্তা
কথোপকোথন,মাদামাদি
কদাকার,করকারা
কদাকার,অবিরিক্ বারাক্
কনিষ্ঠ,কনেঃত্
কনিষ্ঠ,গুরো
কনিষ্ঠ,নিগিরে
কনিষ্ঠ,চিগোন্
কনিষ্ঠা,কিল্যা আঙুল্
কন্টকময়,করক্ কারাক্
কন্যা,ঝি
কণ্ঠ,র
কণ্ঠ,তদা
কণ্ঠ,গলা
কণ্ঠনালী,তদাভেদা
কণ্ঠনালী,তদাধুর্
কণ্ঠনালী,নরোলি
কণ্ঠস্বর,র
কণ্ঠা,নরোলি
কনুই,কিলুঙি
কপর্দকশুন্য,উরোন্ 
কপাল,কবাল্
কপাল,তাল্লো
কপাল,দানা
কপাল,দজন্
কপালপোড়া,কবাল্পোরা
কফিন,চম্রে ঘর্
কফিন,রাধাঘর্
কবচ,আং
কবর,গোর্
কবর দেওয়া,কবর্ দেনা
কবর দেওয়া,গারানা
কবর স্থান,চবাসাল্
কবন্ধ,মাধালা
কবে,কমলে
কবেকার,কমলগর্
কবি,কবি
কবি,গেংহুলি
কবিরাজি,কবিরাজি
কবিরাজি,বনজা
কব্জি,আহ্দ গত্তনা
কবুতর,কোদোর্
কম,চিমে চিমে
কম,কম্
কম,এক্কা
কম,চিমেয়ে
কম,লাঘা
কম,উনো
কম,কেচ্চা
কম্পমান,থর্থচ্যা
কমলালেবু,কমলা
কমা,কমানা
কমা,কম়া
কমে যাওয়া,কমানা
কমে যাওয়া,চিমানা
কর,হাজানা
করা,গরানা
করাত,করত্
করাত,আরা
করাত কল,চঃ মিল্
করাতি,আরা
করাতি,করত্
করুণা,চিত্ পুরা
করুণা জাগা/হওয়া,চিত্ পুরানা
কর্কশ,কাঙেলেত্যা
কর্কশ,আর্সাল্লো
কর্কশ,হচ্হচ্যা
কর্কশ,হচ্হচ্যা
কর্কশ,সাল্লো
কর্কশ,হচ্হচ্
কর্কশ,দাত্দাত্
কর্জ,কচ্জ
কর্ণার,কোনা
কর্দম,দের্
কর্পূর,কাঘোর্
কর্মঠ,কাম্মো
কর্মঠ,মদামত্যা
কর্তা,গরিয়ে
কর্তৃত্বকামী,জিত্যা
কর্তৃত্বকামী,জিত্তো
কর্দম,পেক্
কর্দম,ফুত্
কর্ম,বালা
কর্ম,কাম্
কর্ম,কর্ম
কর্মক্ষম,তনক্
কর্মক্ষম,দরমর
কর্মব্যস্ততা,তুদুর্ তাদার্
কর্মহীন,আজের্
কর্মী,গরিয়ে
কর্মী,হাদিয়ে
করলা,তিদেগুলো
কল,কল্
কলকি,কুল্লি
কলম দানি,ধক্
কলম দানি,কলম ধক্
কলরব,তে তা
কলরব,কল়কালা
কলরব,হলরব
কল্পকাহিনী,গাল্
কলমি শাক,হর্মোচ্ সাক্
কলসি,কুম্
কলহ,ঘুদুক্ ঘাদাক্
কলহ,কুচ্যা
কলা,কলা
কলিজা,কল্জে
কলিজা,ঘিলে
কলিজা,চিত্
কলিজা,চিত্ঘিলে
কলুষ,কুলুক্
কলেজ,কল়েচ্
কলেরা,জুর্ পিরে
কল্যাণ,ভালেত্
কল্যাণকর,ভালেদি
কষ,কচ্
কষ,গাপ্
কষ,হির্
কষযুক্ত,গাপ্গাপ্
কষা,কচ্
কষ্ট,কচ্ত
কষ্ট,দুক্
কষ্ট,তান্মান্
কষ্ট,সিচ্জোত্
কষ্ট,নিরেতিত্যা
কষ্টকর,আনুধোর্
কষ্টকর,নিরোঃচ্
কষ্ট করে,আহ্গি পাদি
কষ্ট করে,দুঘে সুঘে
কষ্টে সৃষ্টে,আহ্গি পাদি
কষ্টে সৃষ্টে,দুঘে সুঘে
কষ্টে সৃষ্টে,দুঘেকচ্তে
কষ্টে সৃষ্টে,আহ্গিপাদি
কষ্টে সৃষ্টে,টানাহিজে গরি
কষ্টে সৃষ্টে,কেঁত্ 𑄇𑄀ত্
কসাই,এহ্রা বেজিয়ে
কয়লা,আঙাড়া
কয়েল,কাক্
কাঁকুই,কোগোয়্
কাঁকরোল,কাঙারাগুলো
কাঁকড়া,কাঙারা
কাঁকড়ার পা,তাঘেয়্
কাঁচপোকা,কেচ্কুমোরি
কাঁচি,কিজিক্
কাঁচু মাচু,বিজিং বাজাং
কাঁটা,সাল্
কাঁটা,কাদা
কাঁটা,আল্
কাঁটা,কাদা
কাঁথা,কেধা
কাঁদা,কানানা
কাঁদানো,কানানা
কাঁদি,কানি
কাঁদি,সরা
কাঁধ,কানাঃ
কাঁধ,বারাঃ
কাঁপা,গির্গিরানা
কাঁপা,ধিক্ধিগানা
কাঁপা,তিত্তিরানা
কাঁপাকাপি,গিগির্ গাগার্
কাঁপাকাপি,তিদিক্ তিদিক্
কাঁপাকাপি,তিদিতিতিক্
কাঁপাকাপি,ধিদিক্ ধিদিক্
কাঁপুনি,ধিক্ধিগানি
কাঁপুনি,ভাগত্ ভাগত্
কাঁপুনি,গির্গিরানি
কাঁপুনি,বান্
কাঁপুনি,তিত্তিরানা
কাক,কবা
কাকতালীয়ভাবে,অজমনে
কাকা,কাক্কা
কাকা,হুত্তো
কাকা,হুরো
কাকী,কাক্কি
কাকী,হরঙা
কাকুতি,তুদি
কাগজ,কাগচ্
কাচ,ফদিক্
কাচ,আনা
কাছ দিয়ে,ঘাচ্যা
কাছ দিয়ে,কুরে
কাছ দিয়ে,ধাগন্দি
কাছা,গুচ্
কাছাকাছি,ঘাচ্যা
কাছাকাছি,কাঃয়্ কুরে
কাছাকাছি,ঘন
কাছাকাছি,কুরোকুচ্যা
কাছাকাছি,কাঃয়্ কুরে
কাছাকাছি করা/হওয়া,কাঃয়্ ঘনানা
কাছাকাছি করা/হওয়া,কাঃয়্ এঝানা
কাছানো,কাঝানা
কাছি,কাঝি
কাছে,আদেকাঝে
কাছে,কুরে
কাছে,কাঃয়্
কাছে,ঘাচ্যা
কাছে,কাঃয়্
কাছে,কুরে
কাছে,ধাগত্
কাছে,কুরে
কাছের,সদর্
কাজ,কাম্
কাজ,কর্ম
কাজ করা,কাম্ গরানা
কাজ করা,চলানা
কাজ হওয়া,কাম্ অহ্না
কাজ হওয়া,হাদানা
কাজু বাদাম,তাম্ বিজি
কাজু বাদাম,বাদাম্ গাচ্
কাজের আদেশ,আহ্জানি
কাজের লোক,গাভুর্
কাজের লোক,আহ্ল/কাম গাভুর্
কাজের লোক,চাগর্
কাটা,গলানা
কাটা,কাবানা
কাটা,কাপ্যা
কাটাকাটি,কাবাকাবি
কাটাকাটি,কাবাকুদো
কাটাছেঁড়া,কাবাক্ঝাবাক্
কাটাছেঁড়া,কাবাকুদো
কাটানো,কাদানা
কাটানো,গঙানা
কাঠখোট্টা,আর্সাল্লো
কাঠঠোকরা,হরোল্যা
কাঠঠোকরা,হুরোল্যা
কাঠফাটা রোদ,দাংদাঙ্যা রোদ্
কাঠবিড়ালী,চগদা
কাঠাল,কাত্থোল্
কাঠুরে,কাত্তোয়া
কাঠুরে,কাত্তন্যা
কাঠুরিয়া,কাত্তোয়
কাঠুরিয়া,কাত্তন্যা
কাঠি,ধেল়া
কাঠি,বারি
কাঠি,কাধি
কাড়াকাড়ি,কাড়াকাড়ি
কাড়াকাড়ি,তাগাতাগি
কাড়াকাড়ি,কাড়ি লোলি
কাণ্ডারি,পাত্তলি
কাত,কেত্
কাত,ধাক্যা
কাত,ধাল্যা
কাতলা,কাদাল্ মাচ্
কাতুকুতু দেওয়া,ঘেক্ঘেদে দেনা
কাতুকুতু দেওয়া,সুচ্চুরে দেনা
কাদা,চেক্চেগি
কাদা,চেগলক্
কাদা,পেক্
কাদা,ফুত্
কাদা,দেল্
কাদা,দের্
কাদা,পেক্
কাদা,পেক্পেদি
কাদা,দেলে্দেলি
কান,কান্
কানন,বাগান্
কানাকড়ি,চন্দি পয়্ঝে
কানায় কানায়,তিপ্তিপ্যা
কানায় কানায়,পেলেপেলে
কানায় কানায়,উজুক্চুক্
কানুনগো,কানুংগো
কান্ডজ্ঞান,আক্কল্
কান্ডজ্ঞান,সেত্ভেত্
কান্ডজ্ঞান,অহ্দবুদ্ধি
কান্ডজ্ঞান,ভেত্
কান্ডজ্ঞান,উহ্চ্
কান্না,কেঁ কেঁ
কান্না,কানানি
কান্নাকাটি,কানাকুদো
কান্নাকাটি,কানাকুদি
কাপ,কাপ্
কাপড়,কানি
কাপড়,কাবর্
কাপড়,সাপ্
কাপড়চোপড়,কাবর্ চুবোর্
কাপড় মুড়ি দেওয়া,মুউহ্রানা
কাপড় মুড়ি দেওয়া,কাবর্ মু তিংতিঙ্যা গরি থানা
কাপুরুষ,ভুত্তো
কাপুরুষ,পাদারা
কাবাডি,পোঃর্ হারা
কাবাডি,গুদু হারা
কামড়,কামর্
কামড়ানো,কামারানা
কামড়ানো,হুদানা
কামড়ানো,হুদোহুদি
কামড়ানো,আহ্মুরানা
কামনা,আহ্ওচ্
কামনা,তিড়োচ্
কামনা,ধারোচ্
কামনা করা,পরানে মাগানাঃ
কামনা করা,পরানে কনাঃ
কামনা বাসনা,ওহ্চ্
কামনা বাসনা,ওহ্চ্মোচ্
কামরা,গুধি
কামরা,হুল়ি
কামরাঙা,করঙা
কামাই,হুগোনিঃ
কামানো,কামানা
কামানো,মুরানা
